,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Kliniknavn,Hjemmeside,tilknyttede læger,tlf,mail/skriftlig kontakt,link til priser,Udelukkende BUP/evt. også BUP/kun voksne/uklart,afdelinger,Postnr,By,Adresse på hver afdeling,Hvorvidt de IKKE tager imod egenbetalere,Noget du evt. vil fremhæve
,De Psykiatriske Speciallæger / Claus Refshammer,https://healthpilot.dk/klinik/1000748/de-psykiatriske-speciallaeger/,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Kun Healthpilot-listing var tilgængelig i denne gennemgang.
,Den Børnepsykiatriske Klinik / Tine Skipper Vesterby,https://janniepoulsen.dk/praktisk/,uklart,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Efie Korkoli,https://efiekorkoli.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Empano,https://empano.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,ESDK Psykiatri,https://www.esdkpsykiater.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Falkonerklinikken,https://falkonerklinikken.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Fischer Psykiatrisk Klinik,https://healthpilot.dk/klinik/1001035/fischer-psykiatrisk-klinik/,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Kun Healthpilot-listing var tilgængelig i denne gennemgang.
,Galini Psykiatrisk Klinik,https://galini.dk/,uklart,71 90 84 48,info@galini.dk,https://galini.dk/priser/,også BUP,1,8200,Aarhus N,"Willemoesgade 13B, stuen, 8200 Aarhus N",uklart,Behandler unge fra 16 år og voksne og oplyser hurtig adgang til specialiseret hjælp.
,Hejmdal,https://hejmdal.dk,uklart,36 16 05 00,kontaktformular,https://hejmdal.dk/priser-og-ydelser-for-voksne/; https://hejmdal.dk/priser-og-ydelser-for-born-og-unge/,også BUP,4,2000; 9000; 8260; 5000,Frederiksberg; Aalborg; Viby J; Odense,"Peter Bangs Vej 7A, 2000 Frederiksberg; uklart, 9000 Aalborg; Skanderborgvej 213, 8260 Viby J; uklart, 5000 Odense",uklart,Hejmdal beskriver sig som et af Danmarks største psykiatriske privathospitaler.
,HHA Privatklinik,https://hhaprivatklinik.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,IMM Psykiatriklinik,https://imm-psykiatriklinik.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Inge Olsen – Børnepsykiatrisk Klinik i Nordjylland,https://www.teisensvej1.dk/,Inge Olsen,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Institut for Mental Sundhed / IFMS,https://ifms.dk/,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Jonas Astrup,https://www.jonasastrup.dk,Jonas Astrup,uklart,kontakt@jonasastrup.dk,https://www.jonasastrup.dk/betaling,uklart,1,3400,Hillerød,"Frederiksgade 7, 1. sal, 3400 Hillerød",uklart,Tilbuddet er målrettet sundhedsfaglige patienter.
,Kathrine Nikolajsen – børne- og ungdomspsykiater,https://kathrinenikolajsen.dk/,Kathrine Nikolajsen,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Klinik Borup-Vejle – psykiater i Vejle,https://www.borupvejle.dk/psykiater-sygeplejerske/,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Klinik for Dynamisk Psykiatri,https://www.dynamiskpsykiatri.dk/,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Klinik for Psykiatri,https://klinikforpsykiatri.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Klinik Lomholt,https://kliniklomholt.dk,uklart,22 10 74 74,"patientportal; e-mail/whatsapp nævnt, konkret e-mail uklart",https://kliniklomholt.dk/priser/,uklart,4,9000; 9220; uklart; uklart,Aalborg; Aalborg Øst; Aarhus; Ballerup; Odense,"Algade 44, 9000 Aalborg; Fredrik Bajers Vej 300, 9220 Aalborg Øst; Aarhus adresse uklart; Ballerup adresse uklart; Odense adresse uklart",nej,Har klinikker i flere byer og udreder/behandler egenbetalere og forsikringskunder uden henvisning.
,Kognitiv Center,https://kognitiv-center.dk/udredning-for-adhd/,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Siden kræver manuel kontrol for egentlig psykiatertilknytning.
,Kognitiv Klinik,https://www.kognitivklinik.dk,manuel kontrol,manuel kontrol,manuel kontrol,https://www.kognitivklinik.dk,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Kræver manuel kontrol for at bekræfte egentlig psykiatrisk klinik.
,Lægerne Danmark – Psykiater,https://laegernedanmark.dk/psykiater/,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Dette ligner en portal eller oversigt og ikke én konkret klinik.
,Lillakliniken,https://lillakliniken.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Marianne Gürtler – børne- og ungdomspsykiater,https://marianne-gurtler.dk/,Marianne Gürtler,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Marie Loeth Psykiatri,https://marieloeth-psyk.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,MediPrax,https://mediprax.dk,uklart,69 15 15 95,kontakt@mediprax.dk; kontaktformular,https://mediprax.dk/vores-priser/,uklart,5,1870; 5000; 8000; 9000; 1468,Frederiksberg; Odense C; Aarhus C; Aalborg C; København K,"Bülowsvej 40, 1870 Frederiksberg; Gråbrødre Plads 3, 5000 Odense C; Fredensgade 29, 8000 Aarhus C; Østre Kanalgade 20, st., 9000 Aalborg C; Løngangstræde 37B, 1. tv, 1468 København K",nej,Udtrykkeligt angivet ikke at udrede og behandle børn i alderen 0-16 år.
,Mensana,https://mensana.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Mentis,https://www.mentis.dk/priser/,uklart,uklart,uklart,https://www.mentis.dk/priser/,uklart,uklart,uklart,uklart,uklart,uklart,Kun pris-side var med i listen; klinikoplysninger kræver mere manuel kontrol.
,minBUP.dk – Børne- og ungdomspsykiater i Hillerød,https://minbup.dk/,uklart,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Mølholm – Psykiatri & Neuropsykiatri,https://www.molholm.dk/specialer/psykiatri-neuropsykiatri/,uklart,uklart,uklart,https://www.molholm.dk/specialer/psykiatri-neuropsykiatri/priser/,uklart,uklart,uklart,uklart,uklart,uklart,Privathospitalets psykiatriske speciale kræver mere manuel detailgennemgang.
,Nicolas Schnell – Psykiatrisk Klinik for Børn og Unge,https://nicolasschnell.dk/,Nicolas Schnell,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Nina Staal – Børne- og Ungdomspsykiater,https://www.xn--brneogungdomspsykiater-5ic.dk/,Nina Staal,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Nordkystens Psykiater,https://nordkystenspsykiater.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Nova Psykiatri,https://www.novapsykiatri.se/dk/adhd-udredning,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Svensk onlineaktør og ikke en almindelig dansk klinik.
,Passage Psykiatri,https://passagepsykiatri.dk,Zsuzsa Boldogh,22 82 00 11,info@passagepsykiatri.dk; kontaktformular,https://passagepsykiatri.dk,kun voksne,2,8300; 8000,Odder; Aarhus C,"Boulevarden 13, 8300 Odder; Banegårdspladsen 20, mf., 8000 Aarhus C",nej,Selvbetalerklinik uden ydernummer og uden ventetid på opstartstidspunktet.
,Pernille Chrois,https://pernillechrois.dk,Pernille Chrois,93 98 51 41,kontaktformular,https://pernillechrois.dk/priser/,kun voksne,1,uklart,Vejle,uklart,uklart,Tilbyder udredning og behandling af psykisk lidelse hos voksne fra 18 år.
,Philipsen,https://www.philipsen.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,PPP Praksis,https://pppraksis.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Prescriba Psykiatriklinik København,https://prescriba.com/p/psykiatriklinik-kbh/,Tiago Nunes; Louise Andersen; Marie Decara,70 22 37 40,psykiatriklinik@prescriba.com,https://prescriba.com/p/psykiatriklinik-kbh/,også BUP,1,1165,København K,"Nørregade 15, 5. sal, 1165 København K",nej,Hjælper voksne og unge fra 16 år med udredning og behandling.
,Privat Psykiatrisk Center,https://privatpsykiatriskcenter.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Privatpsykiater.dk,https://privatpsykiater.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Privatpsykiater Jylland,https://privatpsykiater-jylland.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Privatpsykiaterne,https://www.privatpsykiaterne.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Psyke og Sind,https://psykeogsind.dk,manuel kontrol,uklart,uklart,uklart,manuel kontrol,uklart,uklart,uklart,uklart,uklart,Kræver manuel kontrol for at bekræfte egentlig psykiatrisk klinik.
,Psykiater Ali Elias,https://psykiateralielias.dk,Ali Elias,36 20 89 79,psykiateralielias@pm.me,https://psykiateralielias.dk/priser/,kun voksne,1,3500,Værløse,"Kirke Værløsevej 34, 2. sal, 3500 Værløse",nej,Tilbyder udredning og behandling hos voksne uden ventetid og uden henvisning.
,Psykiater C. Jokumsen,https://psykiatercjokumsen.dk,Charlotte Jokumsen; Freja Ive Rasmussen; Merete Astrup,60 14 99 41,Patientportalen; mail-side på hjemmesiden,https://psykiatercjokumsen.dk/priser1/,kun voksne,1,8600,Silkeborg,"Søndergade 17, 1. sal, 8600 Silkeborg",uklart,Klinikken omtaler sig også som Psykiatri og Sundhed og har fokus på ADHD/ADD og autisme.
,Psykiater.dk,https://psykiater.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Psykiater Inger,https://psykiater-inger.dk,Inger Ros,82 30 44 44,inger.ros.psyk@outlook.dk,https://psykiater-inger.dk,uklart,1,2800,Lyngby,"Lyngby Hovedgade 47, 2. sal, 2800 Lyngby",nej,Tilbyder fysisk fremmøde i Lyngby eller online uden henvisning.
,Psykiater Jakobsen,https://psykiaterjakobsen.dk/priser-og-selvbetalere/,uklart,49 19 09 08,uklart,https://psykiaterjakobsen.dk/priser-og-selvbetalere/,uklart,1,3480,Fredensborg,"Jernbanegade 16, 1, dør 8, 3480 Fredensborg",nej,Psykiatrisk Klinik Fredensborg har både henviste patienter og selvbetalere på pris-siden.
,Psykiater Nordsjælland,https://www.psykiater-nordsjaelland.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Psykiater Odense,https://www.psykiaterodense.dk,Zoltan Barkanyi,uklart,psykiaterodense@protonmail.com; kontaktformular,https://www.psykiaterodense.dk,kun voksne,1,5000,Odense C,"Klaregade 19, 1. sal, 5000 Odense C",nej,"Zoltan Barkanyi angiver, at han ikke tager imod henvisninger fra egen læge."
,Psykiatri Service Danmark,https://psykiatriservicedanmark.dk,manuel kontrol,uklart,uklart,uklart,manuel kontrol,uklart,uklart,uklart,uklart,uklart,Kræver manuel kontrol for at bekræfte klinikstatus.
,Psykiatri & Sundhed v. Vahid Fazilati,https://psykiatri-sundhed.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,PsykiatriMatch – offentlig vs. privat psykiatri,https://www.psykiatrimatch.dk/guides/offentlig-vs-privat-psykiatri,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Dette er en guide/informationsside og ikke en konkret klinik.
,Psykiatrisk Klinik Esbjerg,https://psykiatriskklinikesbjerg.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Psykiatrisk Klinik Sluseholmen v. Nana Hengstenberg,https://healthpilot.dk/klinik/1004567/psykiater-nana-hengstenberg/,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Kun Healthpilot-listing var tilgængelig i denne gennemgang.
,Psykiatrisk Klinik v. Søren Buus Jensen,https://www.psykiateren.net,Søren Buus Jensen,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Psykiatrisk-Praksis v. Maria Lykke,https://www.psykiatrisk-praksis.dk/,Maria Lykke,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Psykiatrisk Specialklinik,https://www.psykiatriskspecialklinik.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,S. Bornholdt,https://sbornholdt.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,SALUS Børne- & Ungdomspsykiatrisk Klinik,https://saluspsykiatri.dk/,uklart,uklart,uklart,uklart,udelukkende BUP,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Selandia Clinic,https://www.selandiaclinic.dk,manuel kontrol,uklart,uklart,uklart,manuel kontrol,uklart,uklart,uklart,uklart,uklart,Kræver manuel kontrol for at afgrænse psykiatrisk del.
,Skovhus Privathospital – Psykiatrisk behandling,https://www.skovhusprivathospital.dk/hvad-tilbyder-vi/psykiatrisk-behandling/,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Privathospitalets psykiatriske tilbud kræver mere manuel detailgennemgang.
,SLJ,https://slj.dk,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Domænet kunne ikke dokumenteres som én konkret privat psykiatrisk klinik i denne gennemgang.
,Speciallæge Else Knudsen,https://speciallaegeelseknudsen.dk,Else Breth Knudsen,22 74 00 54,info@speciallaegeelseknudsen.dk; Lægevejen,https://speciallaegeelseknudsen.dk/prisliste/,uklart,1,7100,Vejle,"Havnegade 30, 7100 Vejle",nej,"Klinikken oplyser selv, at den er en privatklinik med egenbetaling og mulighed for gruppe-2-tilskud."
,Speciallæge i Psykiatri Ana Loncar Knutsen,https://psykiatri-psykoterapi.dk,Ana Loncar Knutsen,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Speciallæge Jette Sørensen Madsen,https://www.jsmadsen.dk,Jette Sørensen Madsen,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Speciallæge Lars Merinder,https://healthpilot.dk/klinik/1005688/speciallaege-i-psykiatri-lars-merinder/,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Kun Healthpilot-listing var tilgængelig i denne gennemgang.
,"SPP Klinik – Klinik for Søvn, Psykologi og Psykiatri",https://sppklinik.dk/om-spp-klinik/,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
,Telepsykiatri.dk,https://www.telepsykiatri.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Tilbuddet ser ud til at fokusere på fjernkonsultationer.
,Tiago Nunes Psykiatri,https://healthpilot.dk/klinik/1025780/,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Kun Healthpilot-listing var tilgængelig i denne gennemgang.
,TNC Health,https://tnchealth.dk/,Line Nødskov Aguirre; Mathilde Houlberg,27 24 34 97,info@tnchealth.dk,https://tnchealth.dk/priser/,uklart,1,2920,Charlottenlund,"Enighedsvej 20A, 2920 Charlottenlund",nej,Alle nye patienter starter med indledende vurdering hos speciallæge i psykiatri.
,Trustpilot – Psykiaterkategori,https://dk.trustpilot.com/categories/psychiatrist,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,manuel kontrol,Dette er en anmeldelses-/katalogside og ikke en klinik.
,Udredning.dk,https://udredning.dk,uklart,uklart,uklart,uklart,manuel kontrol,uklart,uklart,uklart,uklart,uklart,Kræver manuel kontrol for at bekræfte konkret klinikstruktur.
,Ulrichsens Klinik,https://www.ulrichsensklinik.dk,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,uklart,Kun begrænset dokumentation indsamlet i denne gennemgang.
